행정동_코드,총_매출,총_직원수,카페_수,m²당_평균_가격,행정동_코드명,매출,직원수,카페수,가격,수요점수,경쟁점수,비용점수,매력도점수
1150051000,3788793879,16140,419,569.5435681,염창동,0.103044383,0.0804102811,0.155859375,0.0646418628,9.172733206,84.4140625,93.53581372,57.05405615
1132069000,3069290396,12080,456,407.5493629,방학제1동,0.0834652624,0.0591960539,0.1703125,0.0233663049,7.133065818,82.96875,97.66336951,57.04286218
1126065500,1110256097,13408,380,412.3668551,망우본동,0.0301560432,0.0661350918,0.140625,0.0245937851,4.814556751,85.9375,97.54062149,56.96925915
1117051000,1501620708,5194,128,731.0165668,후암동,0.0408058526,0.0232154707,0.0421875,0.105784619,3.201066166,95.78125,89.42153809,56.84126289
1123071000,4166331747,11001,304,740.4543905,회기동,0.113317939,0.0535580857,0.1109375,0.108189344,8.343801248,88.90625,89.18106564,56.76371519
1130559500,1495699649,8781,303,521.5982301,번1동,0.0406447288,0.0419581881,0.110546875,0.0524255581,4.130145847,88.9453125,94.75744419,56.76288535
1144073000,2620182706,13360,29,1086.445449,성산제2동,0.071244149,0.0658842832,0.003515625,0.196346657,6.856421611,99.6484375,80.36533426,56.74670017
1156055000,2342855516,29004,394,724.3651124,당산제1동,0.0636975247,0.147626985,0.14609375,0.104089852,10.56622548,85.390625,89.59101483,56.72098214
1141066000,624565527,3023,277,429.925639,홍은제1동,0.0169394369,0.0118716069,0.100390625,0.0290677019,1.440552192,89.9609375,97.09322981,56.69247107
1129061000,716021756,6099,133,710.3840824,보문동,0.0194281428,0.0279442578,0.044140625,0.100527534,2.36862003,95.5859375,89.94724659,56.60740324
1150052000,5205634558,21674,598,547.94941,등촌제1동,0.141599436,0.109326422,0.22578125,0.0591397467,12.54629289,77.421875,94.08602533,56.47088725
1156058500,283653391,3506,105,706.3385231,도림동,0.00766253976,0.0143953684,0.033203125,0.0994967397,1.102895408,96.6796875,90.05032603,56.46016222
1120052000,436020087,2619,140,656.6089877,왕십리제2동,0.0118087406,0.00976063455,0.046875,0.0868258277,1.078468755,95.3125,91.31741723,56.42036267
1171061000,2651568736,10201,260,743.9996499,삼전동,0.0720982253,0.0493779424,0.09375,0.109092663,6.073808388,90.625,89.09073367,56.34424346
1141056500,2519059415,21998,227,957.4267795,충현동,0.0684923832,0.11101938,0.080859375,0.163473151,8.975588169,91.9140625,83.65268492,56.26025949
1144059000,1755974339,19150,292,764.6973629,용강동,0.0477273207,0.0961380701,0.10625,0.114366368,7.193269543,89.375,88.56336317,56.25881677
1168070000,2051332298,10206,145,899.2267714,세곡동,0.0557645982,0.0494040683,0.048828125,0.148643992,5.258433325,95.1171875,85.13560081,56.17920982
1114059000,3426804059,32713,551,697.2738468,광희동,0.0931939202,0.167007174,0.207421875,0.0971870918,13.01005472,79.2578125,90.28129082,56.06575288
1121571000,8435909848,16382,566,819.0648527,화양동,0.22950165,0.0816747744,0.21328125,0.128219015,15.55882123,78.671875,87.17809851,55.97852055
1114067000,863718383,5494,167,750.5059021,황학동,0.0234472618,0.0247830244,0.057421875,0.110750434,2.41151431,94.2578125,88.92495663,55.91943646
1138051000,866175537,11733,189,813.2586833,녹번동,0.0235141258,0.0573829168,0.066015625,0.126739623,4.04485213,93.3984375,87.32603768,55.8352834
1126062000,1690686186,7462,307,639.8744451,묵제1동,0.0459507003,0.0350661769,0.112109375,0.0825619247,4.050843857,88.7890625,91.74380753,55.78019855
1123070500,1230460756,8434,170,853.1900015,청량리동,0.0334270511,0.040145051,0.05859375,0.136913984,3.678605102,94.140625,86.30860163,55.60621003
1123054500,502471810,11581,256,732.5948725,제기동,0.0136170241,0.0565886896,0.0921875,0.106186766,3.510285684,90.78125,89.38132341,55.4528863
1150060300,3285849559,79982,926,855.7694534,가양제1동,0.0893582679,0.413996165,0.35390625,0.137571219,25.16772163,64.609375,86.2428781,55.32276458
1129055500,793285495,11406,384,589.2471349,삼선동,0.0215306428,0.0556742832,0.1421875,0.0696622628,3.860246302,85.78125,93.03377372,55.18860564
1135056000,964024553,6719,325,629.5769329,월계1동,0.0261767921,0.0311838688,0.119140625,0.0799381545,2.868033047,88.0859375,92.00618455,55.17484983
1120072000,111174749,2799,71,919.7685145,송정동,0.0029690529,0.0107011668,0.019921875,0.153877956,0.683510984,98.0078125,84.61220436,55.05940945
1114060500,5213079421,30179,507,1010.979685,을지로동,0.141802025,0.15376657,0.190234375,0.177118244,14.77842977,80.9765625,82.28817558,54.89079333
1156060500,5116393802,52458,418,1447.00126,문래동,0.139171017,0.270178335,0.15546875,0.288215019,20.46746763,84.453125,71.17849808,54.87647397
1129062000,183703872,2596,345,536.534515,정릉제1동,0.00494271457,0.00964045543,0.126953125,0.0562312713,0.7291585,87.3046875,94.37687287,54.79613151
1156056000,5288814531,25438,339,1221.799105,당산제2동,0.143862928,0.128993996,0.124609375,0.230834296,13.64284622,87.5390625,76.91657037,54.79382835
1120062000,217884563,2219,78,944.8479629,금호4가동,0.00587283915,0.00767056291,0.02265625,0.160268112,0.677170103,97.734375,83.97318878,54.78313717
1144060000,1950520406,9699,359,745.3416061,대흥동,0.0530213061,0.0467549025,0.132421875,0.109434589,4.988810432,86.7578125,89.05654109,54.73983025
1153074000,975722320,6253,430,523.372507,개봉제1동,0.0264951116,0.0287489354,0.16015625,0.0528776376,2.76220235,83.984375,94.71223624,54.71386431
1111064000,5697720939,17755,268,1269.024629,이화동,0.154990085,0.0888489453,0.096875,0.242867195,12.1919515,90.3125,75.71328051,54.68451475
1141058500,10917316678,36600,788,1104.014019,신촌동,0.297025665,0.187317445,0.3,0.200823068,24.21715551,70,79.91769323,54.66217017
1120059000,344361257,2156,77,971.006034,금호1가동,0.00931452152,0.00734137663,0.022265625,0.166933097,0.832794907,97.7734375,83.30669026,54.65715629
1129057500,8397556013,11192,441,1111.59323,동선동,0.228457966,0.0545560949,0.164453125,0.202754224,14.15070305,83.5546875,79.72457758,54.64406074
1123065000,1655705618,23021,610,536.8987158,장안제1동,0.0449988094,0.116364738,0.23046875,0.0563240684,8.068177392,76.953125,94.36759316,54.6234864
1123074000,2477341158,7067,334,808.9073038,이문제1동,0.0673571465,0.0330022312,0.12265625,0.125630907,5.01796888,87.734375,87.43690931,54.55857284
1138058000,1202332075,8114,482,507.2687023,응암제1동,0.0326616137,0.0384729937,0.18046875,0.0487744444,3.556730369,81.953125,95.12255556,54.54539632
1126060000,133765527,3855,274,700.8827819,중화제1동,0.0035837929,0.0162189559,0.09921875,0.0981066359,0.99013744,90.078125,90.18933641,54.4762934
1111065000,5236045036,9228,410,936.3588484,혜화동,0.142426965,0.0442938432,0.15234375,0.158105116,9.336040417,84.765625,84.18948845,54.4209502
1132052100,903804443,7786,374,667.1881463,도봉제1동,0.0245380832,0.0367591349,0.13828125,0.0895213604,3.064860904,86.171875,91.04786396,54.39186605
1132066000,557710843,4090,393,565.1480833,쌍문제1동,0.015120188,0.017446873,0.145703125,0.0635219086,1.628353052,85.4296875,93.64780914,54.37459021
1121573000,1708935192,10424,264,936.4034856,군자동,0.046447292,0.0505431574,0.0953125,0.158116489,4.849522468,90.46875,84.18835111,54.33693932
1138065000,74714292,3547,68,1028.475372,수색동,0.00197689136,0.0146096007,0.01875,0.181576084,0.829324605,98.125,81.84239159,54.32194732
1174051500,1395073198,5422,238,895.0746282,강일동,0.037906483,0.0244068115,0.08515625,0.14758604,3.115664726,91.484375,85.24139597,54.26399718
1162063000,1168871239,6220,139,1059.794798,남현동,0.0317510778,0.0285765045,0.046484375,0.189556165,3.016379114,95.3515625,81.04438354,54.12533546
1171054000,248522500,2880,189,880.8505891,마천1동,0.00670655835,0.0111244063,0.066015625,0.143961805,0.891548232,93.3984375,85.60381952,54.0572964
1159067000,572147782,4065,349,679.5328246,신대방제1동,0.0155130459,0.0173162435,0.128515625,0.0926667413,1.641464469,87.1484375,90.73332587,54.0211148
1138052000,1130258956,7509,275,889.0330324,불광제1동,0.0307003608,0.0353117603,0.099609375,0.146046663,3.300606056,90.0390625,85.39533372,53.95056129
1129052500,1838224242,7036,181,1093.7759,성북동,0.0499655042,0.0328402506,0.062890625,0.198214431,4.140287738,93.7109375,80.17855694,53.82296343
1126058000,398052533,7073,413,646.9321912,상봉제1동,0.0107755679,0.0330335822,0.153515625,0.0843602138,2.190457507,84.6484375,91.56397862,53.73990784
1141062000,446179208,4841,350,718.1461708,홍제제1동,0.0120851904,0.0213709825,0.12890625,0.102505287,1.672808647,87.109375,89.74947129,53.72677735
1171060000,3586866599,16310,420,1005.658239,석촌동,0.0975495402,0.0812985615,0.15625,0.175762358,8.942405086,84.375,82.42376416,53.61659128
1153051000,1154276941,17511,329,993.2062322,신도림동,0.0313539379,0.0875740016,0.120703125,0.17258963,5.946396977,87.9296875,82.74103696,53.57977613
1171053100,487901273,4160,215,943.6354455,거여1동,0.0132205308,0.0178126355,0.076171875,0.159959167,1.551658317,92.3828125,84.0040833,53.53673207
1168072000,746852359,9706,136,1160.693929,일원본동,0.0202671048,0.0467914788,0.0453125,0.215264911,3.352929181,95.46875,78.47350892,53.52384935
1135059500,2431177198,13896,664,533.8034172,공릉1동,0.0661009333,0.0686849792,0.2515625,0.0555353971,6.739295624,74.84375,94.44646029,53.48278134
1174068500,3779601239,20385,433,1078.365173,길동,0.102794233,0.102591166,0.161328125,0.194287831,10.26926997,83.8671875,80.57121687,53.4392293
1171051000,257752681,2235,229,899.3418022,풍납1동,0.00695772993,0.00775416577,0.081640625,0.148673301,0.735594785,91.8359375,85.13266986,53.38482012
1138055100,802421009,4565,408,712.869426,갈현제1동,0.0217792383,0.0199288331,0.1515625,0.101160791,2.085403568,84.84375,89.8839209,53.2524627
1135061900,911914400,6260,549,528.2272684,중계본동,0.0247587712,0.0287855116,0.206640625,0.0541146139,2.677214142,79.3359375,94.58853861,53.24822849
1120055000,2554057475,11126,488,808.7334603,사근동,0.06944475,0.0542112331,0.1828125,0.125586612,6.182799155,81.71875,87.44133878,53.2211463
1121585000,1290271584,6361,687,348.6693138,구의제1동,0.0350546226,0.0293132547,0.260546875,0.00836387393,3.218393867,73.9453125,99.16361261,53.22003508
1117052000,1155358724,2166,134,1132.727583,용산2가동,0.0313833754,0.00739362842,0.04453125,0.208139183,1.938850192,95.546875,79.18608165,53.19542707
1174057000,688090269,6728,393,768.4361483,암사제1동,0.0186680715,0.0312308954,0.145703125,0.115318998,2.494948347,85.4296875,88.46810022,53.16731565
1165053000,13699365208,92681,1378,1398.726477,서초3동,0.372730738,0.480350714,0.53046875,0.275914773,42.6540726,46.953125,72.40852271,52.87012335
1114068000,670742307,8193,266,1037.570344,중림동,0.018195999,0.0388857828,0.09609375,0.183893451,2.854089088,90.390625,81.61065488,52.7420196
1123060000,1036731486,9556,455,810.2997018,답십리제1동,0.0281552924,0.0460077019,0.169921875,0.125985685,3.708149714,83.0078125,87.40143149,52.60603308
1129068500,1249764734,5251,325,966.8009901,길음제2동,0.0339523507,0.0235133059,0.119140625,0.165861667,2.873282831,88.0859375,83.41383331,52.59924437
1120058000,348011219,1108,20,1326.779801,응봉동,0.00941384424,0.00186538894,0,0.257583011,0.563961659,100,74.2416989,52.49809433
1141069000,27000000,2809,351,821.1331001,남가좌제1동,0.000678490583,0.0107534186,0.129296875,0.128745997,0.571595458,87.0703125,87.12540029,52.48735202
1132051100,2145962980,3868,594,617.7273269,창제1동,0.0583396872,0.0162868832,0.22421875,0.0769189163,3.731328523,77.578125,92.30810837,52.45840142
1154567000,2783852354,17077,633,816.646849,시흥제1동,0.0756979257,0.0853062739,0.239453125,0.127602916,8.050209976,76.0546875,87.2397084,52.20840276
1130564500,2207334590,5284,78,1471.427358,우이동,0.0600097308,0.0236857368,0.02265625,0.294438704,4.184773381,97.734375,70.55612963,52.16106074
1171062000,2416684264,27900,694,856.3084435,가락본동,0.0657065517,0.141858387,0.26328125,0.137708552,10.37824695,73.671875,86.22914482,52.12160472
1117055500,3077103140,11496,303,1280.326015,청파동,0.0836778627,0.0561445494,0.110546875,0.245746749,6.991120604,88.9453125,75.42532513,52.10763953
1156053500,4828279305,47533,917,964.611398,영등포동,0.131330849,0.244444328,0.350390625,0.165303767,18.78875885,64.9609375,83.46962335,52.0446718
1159060500,2682616440,10376,271,1302.500667,흑석동,0.0729430951,0.0502923488,0.098046875,0.251396772,6.161772194,90.1953125,74.86032275,51.98139945
1165066000,430695231,10530,87,1431.489262,내곡동,0.0116638406,0.0510970264,0.026171875,0.284262616,3.13804335,97.3828125,71.57373837,51.9421826
1120053500,491680131,9832,211,1243.167793,왕십리도선동,0.0133233611,0.0474498513,0.074609375,0.236278963,3.03866062,92.5390625,76.37210366,51.8888141
1129076000,279617491,3394,337,947.9193742,장위제1동,0.00755271489,0.0138101483,0.123828125,0.161050697,1.068143162,87.6171875,83.89493029,51.8808926
1114057000,4458293344,25094,495,1300.177654,필동,0.121262795,0.127196535,0.185546875,0.250804877,12.42296648,81.4453125,74.91951231,51.87863403
1144065500,4823722980,10137,486,1187.689675,서강동,0.131206862,0.049043531,0.18203125,0.222143333,9.012519651,81.796875,77.78566673,51.47977038
1144068000,5449639605,13968,483,1318.239412,합정동,0.148239298,0.0690611921,0.180859375,0.25540695,10.86502451,81.9140625,74.45930502,51.25802006
1147056000,589752222,5285,707,515.7522927,신월1동,0.0159920977,0.023690962,0.268359375,0.0509360336,1.984152984,73.1640625,94.90639664,51.21479894
1117058000,365425091,2611,55,1474.686123,효창동,0.00988771033,0.00971883311,0.013671875,0.295269026,0.980327172,98.6328125,70.47309745,51.12390385
1165065100,5883459409,50256,1138,887.9294405,양재1동,0.160044398,0.258672491,0.43671875,0.145765471,20.93584444,56.328125,85.42345285,50.89981113
1111051500,5110247300,5623,259,1575.191548,청운효자동,0.139003759,0.0254570725,0.093359375,0.320877457,8.223041557,90.6640625,67.91225432,50.86211167
1111070000,37602347,1775,182,1282.910153,숭인제1동,0.000967001529,0.00535058339,0.06328125,0.246405178,0.315879246,93.671875,75.3594822,50.83575886
1159063000,5057438761,6463,32,1968.438353,사당제2동,0.137566733,0.029846223,0.0046875,0.42107537,8.370647811,99.53125,57.89246301,50.57537303
1114054000,9161071303,57888,1010,1485.605367,회현동,0.249234736,0.298551058,0.38671875,0.298051211,27.38928967,61.328125,70.19487891,50.41261704
1144069000,2283267559,6519,562,1000.098961,망원제1동,0.0620760179,0.030138833,0.21171875,0.174345874,4.610742544,78.828125,82.56541263,50.26235831
1144071000,5160473269,8850,577,1235.385794,연남동,0.140370507,0.0423187255,0.217578125,0.234296137,9.134461629,78.2421875,76.57038628,50.09755678
1150062000,696015071,34886,768,1002.375666,공항동,0.0188837211,0.178361488,0.2921875,0.17492597,9.862260473,70.78125,82.50740299,49.93150009
1120061500,488184614,2943,150,1525.748359,금호2.3가동,0.0132282411,0.0114535926,0.05078125,0.308279505,1.234091683,94.921875,69.17204949,49.72181402
1111057000,506093663,2238,41,1688.535203,무악동,0.0137155819,0.00776984131,0.008203125,0.349757025,1.074271162,99.1796875,65.02429754,49.69090398
1174053000,2565452027,7748,503,1215.098801,명일제1동,0.0697548184,0.0365605781,0.188671875,0.229127082,5.315769827,81.1328125,77.08729178,49.59233922
1171058000,2835042037,14112,529,1305.259756,송파1동,0.0770908987,0.0698136179,0.198828125,0.252099779,7.34522583,80.1171875,74.79002213,49.41025322
1144055500,1514911148,12769,578,1140.479581,아현동,0.0411675119,0.0627962023,0.21796875,0.210114366,5.198185713,78.203125,78.98856344,49.23678082
1117065000,3923936011,7049,388,1533.275482,이태원제1동,0.106721869,0.0329081779,0.14375,0.31019739,6.981502358,85.625,68.98026103,49.17417925
1111063000,2530942531,19891,323,1716.478988,종로5.6가동,0.0688157464,0.100009928,0.118359375,0.356877003,8.441283713,88.1640625,64.31229965,49.11942213
1174055000,26249472,3087,216,1486.516507,고덕제1동,0.000658067223,0.0122060184,0.0765625,0.298283366,0.643204279,92.34375,70.17166339,49.01190573
1123072000,1010900629,3910,242,1553.233692,휘경제1동,0.0274523834,0.0165063408,0.08671875,0.315282672,2.197936206,91.328125,68.47173281,48.81913182
1121574000,343409873,6517,701,922.5557899,중곡제1동,0.00928863247,0.0301283827,0.266015625,0.154588144,1.970850756,73.3984375,84.54118556,48.17022722
1159062000,2745260592,10572,822,969.9328146,사당제1동,0.0746477671,0.0513164839,0.31328125,0.166659645,6.298212547,68.671875,83.33403551,48.12105817
1126052000,809740634,5598,925,609.3511922,면목제2동,0.0219784199,0.0253264431,0.353515625,0.0747847064,2.365243146,64.6484375,92.52152936,48.09708732
1168065500,2306677597,19283,525,1518.436904,도곡1동,0.0627130516,0.096833019,0.197265625,0.306416572,7.977303526,80.2734375,69.35834283,48.08045551
1130561500,385354135,5765,883,679.3868556,수유1동,0.0104300193,0.026199048,0.337109375,0.0926295489,1.831453361,66.2890625,90.73704511,47.84041363
1120054000,910622217,12829,109,2028.864876,마장동,0.0247236084,0.0631097131,0.034765625,0.436471837,4.391666072,96.5234375,56.35281631,47.61954257
1171057000,2964831093,19623,262,2120.508449,오금동,0.0806227171,0.0986095798,0.09453125,0.459822299,8.961614845,90.546875,54.01777006,46.95403945
1165054000,3212410827,18189,458,1838.708821,잠원동,0.087359854,0.091116673,0.17109375,0.388020738,8.92382635,82.890625,61.1979262,46.7960959
1111067000,578959038,4956,226,1830.376034,창신제1동,0.0156983937,0.0219718781,0.08046875,0.385897573,1.883513588,91.953125,61.4102427,46.76241575
1144072000,679435266,12768,345,1764.747236,성산제1동,0.0184325517,0.0627909772,0.126953125,0.369175584,4.061176441,87.3046875,63.08244156,46.7406093
1144066000,30553895743,62010,2546,1237.006513,서교동,0.831376032,0.320089246,0.98671875,0.234709091,57.57326391,1.328125,76.52909092,46.38647034
1174060000,1281143464,5809,1025,730.7422744,천호제1동,0.0348062283,0.0264289559,0.392578125,0.10571473,3.06175921,60.7421875,89.42852697,46.27591802
1141055500,118273285,2756,672,1158.868249,북아현동,0.00316221818,0.0104764841,0.2546875,0.214799734,0.681935113,74.53125,78.5200266,46.18815703
1156051500,1068110040,5229,810,1060.660828,영등포본동,0.0290091652,0.023398352,0.30859375,0.189776826,2.62037586,69.140625,81.0223174,46.09703306
1117062500,5028141124,55730,728,2198.237948,한강로동,0.136769486,0.287275121,0.2765625,0.479627504,21.20223038,72.34375,52.03724957,45.79519202
1168056500,4920390814,40724,636,2150.714986,청담동,0.133837386,0.208866084,0.240625,0.467518819,17.1351735,75.9375,53.24811805,45.60975481
1130553400,400429125,3671,1031,720.6690566,삼양동,0.0108402397,0.015257523,0.394921875,0.10314811,1.304888133,60.5078125,89.68518904,45.57985571
1117053000,3727920839,19708,302,2308.109504,남영동,0.101387907,0.0990537201,0.11015625,0.507622393,10.02208133,88.984375,49.23776068,45.47547324
1111060000,4912200196,8518,186,2438.047523,가회동,0.133614503,0.040583966,0.06484375,0.540730147,8.709923454,93.515625,45.92698533,45.31675248
1159051000,2182196363,7479,534,1700.171359,노량진제1동,0.0593256696,0.0351550049,0.20078125,0.352721877,4.724033729,79.921875,64.72781235,45.2845197
