행정동명,저가카페_매장수,전체_카페수,저가카페_비율(%),감성커피,더벤티,더카페,디저트39,만랩커피,매머드커피,메가커피,바나프레소,벤티프레소,봄봄,빽다방,셀렉토,영커피,요거프레소,우지커피,이디야,쥬씨,카페게이트,카페인중독,커피베이,커피사피엔스,커피에반하다,컴포즈커피,텐퍼센트,토프레소,하삼동
대림2동,9,117.0,7.69,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0
신길7동,7,91.0,7.69,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
증산동,6,78.0,7.69,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0
상도1동,19,247.0,7.69,0,0,0,0,0,4,2,0,0,1,1,0,0,2,0,3,1,0,0,2,0,0,3,0,0,0
사당5동,5,65.0,7.69,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
인헌동,11,144.0,7.64,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,1,0,2,0,0,0,1,0,0,0
남현동,11,145.0,7.59,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,1,1,0
창2동,8,106.0,7.55,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0
번3동,4,53.0,7.55,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
마천1동,6,80.0,7.5,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
방화1동,26,347.0,7.49,0,0,0,2,0,2,6,0,0,0,1,1,1,1,0,3,1,0,0,2,1,0,2,3,0,0
이문1동,19,255.0,7.45,0,1,1,1,0,2,3,0,0,0,2,0,0,1,1,2,1,0,0,1,0,0,2,0,1,0
문래동,31,418.0,7.42,1,1,0,0,1,3,6,0,0,0,1,0,0,1,1,5,2,0,0,2,3,0,3,1,0,0
자양2동,11,150.0,7.33,0,0,0,0,0,0,5,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
대치4동,45,614.0,7.33,0,1,1,3,1,5,6,0,3,2,3,0,0,1,1,7,1,1,0,1,0,1,5,1,1,0
대조동,21,287.0,7.32,1,1,5,0,0,0,3,0,1,0,0,0,0,1,0,4,0,0,0,1,0,0,3,0,1,0
방학1동,22,302.0,7.28,0,1,0,0,0,1,3,0,0,0,2,1,0,1,0,4,1,1,0,2,0,1,2,1,1,0
은천동,12,165.0,7.27,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,2,0,0,0,2,0,1,2,0,0,0
망우본동,23,317.0,7.26,1,1,1,1,0,1,7,0,0,0,1,0,0,1,0,6,0,0,0,1,0,1,1,0,0,0
진관동,19,263.0,7.22,1,1,0,2,0,0,3,0,0,0,3,0,0,2,0,2,0,0,0,2,0,1,2,0,0,0
월계1동,13,181.0,7.18,0,0,0,0,0,1,3,0,0,0,2,1,0,1,0,3,1,0,0,0,0,0,1,0,0,0
종로5.6가동,1,14.0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
갈현1동,12,168.0,7.14,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,0,0,1,1,2,0,0,0
잠실4동,4,56.0,7.14,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
공릉2동,21,296.0,7.09,0,2,0,1,0,2,3,0,0,0,1,0,0,1,0,6,0,0,0,2,0,0,3,0,0,0
길동,31,437.0,7.09,1,1,1,1,0,2,6,1,1,0,1,1,0,2,1,4,1,0,1,4,0,0,1,0,1,0
시흥5동,8,113.0,7.08,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,1,0
신월6동,6,85.0,7.06,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0
목5동,14,199.0,7.04,0,0,0,0,0,2,4,0,0,1,1,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0
등촌1동,16,229.0,6.99,0,1,0,0,0,3,3,0,0,0,0,0,0,1,0,3,2,0,0,0,1,0,2,0,0,0
월곡1동,10,143.0,6.99,0,1,0,0,0,0,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0
묵1동,12,173.0,6.94,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0
면목3·8동,15,216.0,6.94,1,1,0,0,0,3,4,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0
고척1동,17,245.0,6.94,0,0,2,1,0,0,3,0,0,0,1,0,0,1,1,3,0,0,0,1,0,0,3,0,1,0
상봉2동,19,274.0,6.93,1,0,1,0,0,2,2,0,0,0,3,0,0,1,0,3,2,0,1,0,0,1,2,0,0,0
우장산동,13,188.0,6.91,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,5,0,0,0
거여2동,9,131.0,6.87,0,1,0,1,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
독산1동,22,321.0,6.85,1,0,2,2,0,2,3,0,0,0,2,0,1,2,1,1,0,1,0,1,0,1,1,1,0,0
군자동,18,264.0,6.82,0,1,0,2,0,1,2,1,0,0,2,0,0,1,1,2,0,0,0,1,0,0,3,1,0,0
응암1동,17,250.0,6.8,1,1,0,1,0,0,4,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,2,0,2,0
신월5동,7,103.0,6.8,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0
장안2동,20,299.0,6.69,1,0,1,0,0,0,5,0,0,0,1,0,0,3,1,3,0,1,0,1,0,0,2,0,1,0
안암동,20,302.0,6.62,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,6,0,1,0,0,0,1,3,0,0,1
정릉3동,6,91.0,6.59,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
방이1동,12,183.0,6.56,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,3,0,0,0,1,0,0,1,1,0,0
일원2동,4,61.0,6.56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
구의3동,16,244.0,6.56,0,1,1,1,1,0,2,0,0,0,3,0,0,1,0,3,0,0,0,1,0,1,0,0,1,0
석관동,14,214.0,6.54,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,3,0,0,0,1,0,1,1,0,2,0
홍은1동,6,92.0,6.52,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0
상계9동,3,46.0,6.52,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
월곡2동,12,185.0,6.49,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,3,1,0,0,1,0,0,1,0,0,0
신월7동,7,108.0,6.48,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0
쌍문2동,9,140.0,6.43,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0
면목4동,7,109.0,6.42,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0
도림동,7,109.0,6.42,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0
성수1가1동,11,174.0,6.32,0,0,1,0,0,3,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
보라매동,13,207.0,6.28,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,3,1,0,0,1,0,1,1,0,0,0
왕십리도선동,17,271.0,6.27,0,0,1,0,0,0,3,0,0,0,3,0,0,1,0,2,0,0,1,1,0,0,3,1,1,0
